Date,open,high,low,close,volume,dividends,stock splits
2011-02-01,68.26869336124581,69.10921440270668,65.84052990831786,66.82891845703125,8167571,0.0,0.0
2011-02-02,67.19472400671349,68.84462497034094,66.9301179056429,68.1519775390625,6818275,0.0,0.0
2011-02-03,68.05079997773994,69.24931431781378,67.17136589476928,68.79792785644531,9068109,0.0,0.0
2011-02-04,68.72012001611353,69.1170260650548,66.93012870992891,67.97299194335938,9004232,0.0,0.0
2011-02-07,67.82511099961769,68.63449694668333,66.15185225308527,66.44759368896484,7515870,0.0,0.0
2011-02-08,66.61882246978338,67.1402508931169,65.52925626648519,66.26860046386719,7591331,0.0,0.0
2011-02-09,66.19075342736946,67.08575507976359,65.0700649034107,66.01175689697266,6771870,0.0,0.0
2011-02-10,65.99619780642712,66.16741685786603,64.60311922170999,65.05451202392578,6203225,0.0,0.0
2011-02-11,64.447468799581,65.91837309618396,63.427950978432186,65.41250610351562,9018184,0.0,0.0
2011-02-14,65.60705608062808,66.58766084318498,64.76654133184766,66.0584487915039,7632984,0.0,0.0
2011-02-15,66.1518298843994,66.52539688759119,64.90661920736484,66.22187805175781,5791721,0.0,0.0
2011-02-16,65.61485791873763,68.45549580920871,65.52924838685108,68.04302215576172,8146248,0.0,0.0
2011-02-17,68.47881765436375,68.47881765436375,66.71217259546343,67.2491683959961,6053923,0.0,0.0
2011-02-18,67.38150895781432,68.75124257359376,66.93012242161818,67.35037994384766,5362809,0.0,0.0
2011-02-21,67.42041005289225,70.61904709977708,67.42041005289225,70.20657348632812,9849010,0.0,0.0
2011-02-22,70.04314937009217,71.5996633783072,67.73950737123955,69.23375701904297,9396317,0.0,0.0
2011-02-23,69.31156967806501,69.40496303437409,67.45932089018955,67.98853302001953,5918094,0.0,0.0
2011-02-24,67.0857716471285,68.61115028322313,65.70047040260063,66.48651123046875,11963757,0.0,0.0
2011-02-25,67.35814059447499,67.81731080947372,65.85610126953421,67.40483093261719,8558365,0.0,0.0
2011-02-28,67.55271689661747,70.16766130768086,67.34258500341379,68.20645141601562,9696834,0.0,0.0
2011-03-01,68.4866094834497,69.26486619348427,67.3970500894013,69.02360534667969,6894963,0.0,0.0
2011-03-03,67.70836917156647,69.40496667694958,67.70836917156647,69.15592193603516,8655379,0.0,0.0
2011-03-04,69.73184583539393,70.41670945842024,68.48663464191216,68.70454406738281,3932425,0.0,0.0
2011-03-07,68.10528109304055,69.9653203103259,67.88737167574196,69.61510467529297,4566510,0.0,0.0
2011-03-08,69.96531500962543,70.35444346351426,69.28822896647048,69.88748931884766,5622963,0.0,0.0
2011-03-09,69.73183162476197,70.53343363381893,69.03917797276613,70.19100189208984,3794788,0.0,0.0
2011-03-10,69.88748867296295,70.97704833378221,69.34270884255331,70.79026794433594,6066297,0.0,0.0
2011-03-11,70.12874542700642,71.08599882466558,69.46722076720238,69.9341812133789,7766696,0.0,0.0
2011-03-14,69.26489756155779,71.25723690821314,69.26489756155779,71.01597595214844,6949651,0.0,0.0
2011-03-15,69.26490284072963,71.13271993305264,68.5177747371059,68.8602066040039,5620089,0.0,0.0
2011-03-16,69.26489041231612,69.88749599804108,68.6889751787433,69.3271484375,5474281,0.0,0.0
2011-03-17,68.34651947556189,69.49834320649464,68.34651947556189,69.02360534667969,3125396,0.0,0.0
2011-03-18,69.10923492754685,69.46722805138346,67.62276291287036,68.47106170654297,4854649,0.0,0.0
2011-03-21,68.64229807144626,69.26490377730592,67.14804184399397,67.53717041015625,5736078,0.0,0.0
2011-03-22,67.95741440804561,68.33098155695697,67.39707318488578,67.61498260498047,1399626,0.0,0.0
2011-03-23,67.61495815231679,68.47104051711682,67.24139747197356,67.95738983154297,2534623,0.0,0.0
2011-03-24,68.1130651702477,69.36606015782367,68.1130651702477,68.4321517944336,4943545,0.0,0.0
2011-03-25,69.64621134309122,71.38950512260368,69.08586397342286,70.96146392822266,12249559,0.0,0.0
2011-03-28,70.59571555910588,72.2456166649761,70.59571555910588,71.89540100097656,9412328,0.0,0.0
2011-03-29,71.83314450756095,72.75148529051481,71.75531880278614,72.14444732666016,7706856,0.0,0.0
2011-03-30,71.99656545902556,73.93442385645288,71.99656545902556,73.59976959228516,4991609,0.0,0.0
2011-03-31,73.33517375040503,75.44425149208564,72.68922297226656,74.74382019042969,16940390,0.0,0.0
2011-04-01,74.2457374376216,74.6504272810118,73.15617762827056,74.09786987304688,3752735,0.0,0.0
2011-04-04,74.712688144524,76.26920208502628,74.59594959898632,74.86833953857422,11645005,0.0,0.0
