Date,open,high,low,close,volume,dividends,stock splits
2007-12-03,288.7440859098522,294.21266596138963,285.52494384278623,293.4128723144531,21453424,0.0,0.0
2007-12-04,294.92247900348366,296.48207798423726,284.9450924115963,286.1747741699219,23074751,0.0,0.0
2007-12-05,291.193462068944,291.923262751365,286.4247048536452,290.0637512207031,17131715,0.0,0.0
2007-12-06,294.92240487348573,298.72140380471626,286.4496287392003,287.3044128417969,21700398,0.0,0.0
2007-12-07,290.4235963807124,290.4235963807124,280.16130159746854,284.0702819824219,28847057,0.0,0.0
2007-12-10,284.92511079210567,286.8046166437321,280.056409021643,282.2208251953125,16149578,0.0,0.0
2007-12-11,285.42498557804504,289.81881891865993,282.92563365780904,288.4891662597656,27847587,0.0,0.0
2007-12-12,287.0245876986555,290.9235587424173,283.92538368377313,288.0143127441406,27173714,0.0,0.0
2007-12-13,288.3941531099683,292.33810334068767,281.4559623988971,283.20050048828125,28950529,0.0,0.0
2007-12-14,280.4262962386045,289.9237957502432,280.4262962386045,288.7890930175781,31167534,0.0,0.0
2007-12-17,284.9300469118403,288.72402730291515,270.9287093869684,277.43701171875,31451054,0.0,0.0
2007-12-18,278.4267990213938,279.9364258827342,270.23396605985647,272.6833190917969,36252011,0.0,0.0
2007-12-19,267.9345649803187,278.41682462948603,265.08532837586495,270.3089599609375,33185923,0.0,0.0
2007-12-20,271.4286074619729,278.3267831845942,269.1192140200452,271.29364013671875,21879693,0.0,0.0
2007-12-24,276.5273083481509,279.9214329228108,269.729102153314,278.78173828125,23564594,0.0,0.0
2007-12-26,279.926354935826,291.3933448368057,279.72641324062266,289.5738220214844,27736485,0.0,0.0
2007-12-27,289.9237530484447,292.523048651796,287.43441203768896,289.30889892578125,33440220,0.0,0.0
2007-12-28,288.6241441406368,292.9230253291331,285.54995291218665,289.408935546875,15896769,0.0,0.0
2007-12-31,290.2737186283112,292.92301350116816,286.9246009494004,288.1942443847656,11211489,0.0,0.0
2008-01-01,288.9241077215921,289.8238723856732,283.43553259289934,284.75018310546875,10540548,0.0,0.0
2008-01-02,285.4249824183908,288.3242178004138,281.05613517088364,286.09979248046875,27276294,0.0,0.0
2008-01-03,285.1250903952254,292.92303255875646,282.9506370071605,290.2937316894531,30204199,0.0,0.0
2008-01-04,290.3236995907172,301.90064738113983,290.3236995907172,299.22137451171875,35463186,0.0,0.0
2008-01-07,297.40187522432905,302.9204282001923,295.92225274889665,301.9456787109375,27412209,0.0,0.0
2008-01-08,304.9698492943189,308.3189671039772,299.9211731869625,305.3847351074219,42941270,0.0,0.0
2008-01-09,304.68483194267736,306.9192403209832,301.1557410996112,303.2851867675781,22068981,0.0,0.0
2008-01-10,303.42019527161773,309.6685472507302,301.42072477386074,302.70037841796875,35935303,0.0,0.0
2008-01-11,307.8689898555441,313.91739956173814,302.42043192073174,312.677734375,44021961,0.0,0.0
2008-01-14,315.81698745745194,323.9148685133582,312.51786852729987,322.0003662109375,24160570,0.0,0.0
2008-01-15,329.71324631439137,329.71324631439137,314.0473742991779,316.47174072265625,33236461,0.0,0.0
2008-01-16,310.9182177155055,314.41730437451577,302.4204548968283,309.2836608886719,48600925,0.0,0.0
2008-01-17,315.81697860981006,315.81697860981006,297.5368042633953,299.5762634277344,41921623,0.0,0.0
2008-01-18,297.4218103819975,297.4218103819975,277.9269312433665,279.88641357421875,50776299,0.0,0.0
2008-01-21,277.9069454780435,277.9069454780435,234.46337042671092,254.01321411132812,72442557,0.0,0.0
2008-01-22,235.16316922257158,248.73462172108097,211.94428765724646,235.68304443359375,76700972,0.0,0.0
2008-01-23,241.93636657175952,282.4257391269639,239.9368959977104,255.00294494628906,64128524,0.0,0.0
2008-01-24,258.93186748029166,264.4303970997983,243.4359336231858,248.8245086669922,42719162,0.0,0.0
2008-01-25,257.4323226501332,262.4309994558915,252.43364584437492,261.47125244140625,26217694,0.0,0.0
2008-01-28,256.43258107326307,259.4018091719917,242.9361406776133,256.5725402832031,26471239,0.0,0.0
2008-01-29,264.430504880749,264.430504880749,253.96826534535452,257.622314453125,17399346,0.0,0.0
2008-01-30,254.453106568446,259.7317017143308,245.23552586804047,247.12501525878906,21854267,0.0,0.0
2008-01-31,247.1350928920057,256.9025293532075,237.0377391392601,247.8249053955078,49427967,0.0,0.0
2008-02-01,248.93457201509196,255.95773265541112,241.93639741914984,254.2081756591797,18456589,0.0,0.0
2008-02-04,253.53332839135075,264.1305329075409,253.53332839135075,259.0518798828125,25814077,0.0,0.0
2008-02-05,259.93172368328527,263.3308138778719,256.5626114071371,261.6412658691406,15151447,0.0,0.0
2008-02-06,255.9227181998183,256.9324372833396,250.06426534517615,255.1829071044922,19264427,0.0,0.0
2008-02-07,251.93376605657645,257.9322049475012,240.64674816777637,242.4812469482422,27417100,0.0,0.0
2008-02-08,243.4460195211403,246.7351545757942,238.9371864631573,242.57623291015625,27651544,0.0,0.0
2008-02-11,241.33657741437747,241.33657741437747,223.4412703961644,227.64016723632812,41653038,0.0,0.0
2008-02-12,228.04010012792563,241.93642674313492,225.64071882562976,232.4239501953125,35641327,0.0,0.0
2008-02-13,236.9376629866039,246.8300519947138,234.94318451043713,238.8871612548828,41541105,0.0,0.0
2008-02-14,244.93563728882347,253.2334334555954,244.93563728882347,251.60888671875,25193638,0.0,0.0
2008-02-15,250.42417688038117,259.9316870553642,246.53518985252177,259.32684326171875,18833476,0.0,0.0
2008-02-18,259.9316695643233,261.4312592309062,253.7332890849093,255.30287170410156,11414925,0.0,0.0
2008-02-19,258.9319613092278,261.7312259001086,252.93352193191595,255.3878936767578,14075130,0.0,0.0
2008-02-20,249.95429829079254,254.93298112286357,246.13530425304265,248.334716796875,19315507,0.0,0.0
2008-02-21,250.9340330243854,254.03321001858544,246.07531536285515,249.56439208984375,14064753,0.0,0.0
2008-02-22,244.16578798462166,247.93480957338025,241.43651674030534,243.38099670410156,17346910,0.0,0.0
2008-02-25,249.43437659110631,256.43254979030047,240.94163248018532,255.07791137695312,16217938,0.0,0.0
2008-02-26,256.42256850828164,258.53202046249834,253.14344410490006,257.5972595214844,12791606,0.0,0.0
2008-02-27,260.43149803790857,263.7306430269996,256.937429902661,258.7769470214844,23321593,0.0,0.0
2008-02-28,257.9321698843542,259.9316403446921,251.603814644835,253.25839233398438,24690014,0.0,0.0
2008-02-29,255.13292088293733,255.13292088293733,240.9366317308251,246.2802276611328,29196461,0.0,0.0
2008-03-03,239.91691707341866,239.91691707341866,228.89481547997562,230.5393829345703,26500060,0.0,0.0
2008-03-04,231.93900744392968,233.7385362509213,220.94189288886702,224.2610321044922,39850780,0.0,0.0
2008-03-05,223.95111764664458,231.93901629342443,222.65145642009128,229.21473693847656,25698697,0.0,0.0
2008-03-07,227.81008170363353,227.81008170363353,216.5680323323307,224.765869140625,29082647,0.0,0.0
2008-03-10,221.03186415400344,228.81980734736374,212.17919798227769,227.39520263671875,45876779,0.0,0.0
2008-03-11,224.94084390146713,235.43810463912672,220.38205251519136,234.728271484375,32079079,0.0,0.0
2008-03-12,241.81638622613787,242.77613310867906,235.93793990738376,237.39756774902344,27963509,0.0,0.0
2008-03-13,228.93983579354366,232.43889637811384,220.10214381157513,224.24606323242188,35443360,0.0,0.0
