Date,Ret_D1,Ret_W1,STD_W1,ST_Rev,r12_2,r12_7,r36_13,Variance,HighLowVol,Resid_Var,Beta,Vol,SUV,LTurnover,Amihud,Rel2High,MktCap_Proxy,PriceMom_Acc,VolMom,RSI14,MACD_Sig,DistMA50,DistMA200,RFR
2011-02-01,-0.00880347187903363,-0.06172315593063926,0.012083468043137213,-0.09998644034840631,0.17605813847244733,0.03293667662866184,0.5085082349172787,0.0002395320304003108,0.0004213167928061247,0.00022024698588672445,0.5408869126164337,15.709005580606211,0.42721061827374607,-0.08633932411744233,0.00035897945521309676,0.8717847533789619,19.73541256806192,-0.16632451477985777,1.0724280061285807,35.51317657753238,-0.20411937514828304,-0.06466391911957808,-0.003061484409572713,
2011-02-02,-0.009483592774345517,-0.05595394985108593,0.012019005987793454,-0.11032971947045145,0.15249034031008035,0.005516990986375925,0.5578876622912237,0.00023787633008211101,0.00042797838135485706,0.0002199234825811699,0.5403413761471487,15.723119490999219,-1.0459632106338097,-0.07685213949653623,0.0003764899898338802,0.8635171017910326,19.73060181797933,-0.18486161035148096,1.0825518244164953,34.44938292145247,-0.23802207492656308,-0.07281364396476359,-0.012557728393595714,
2011-02-03,-0.010638396006127593,-0.05143537836987144,0.011813879744931562,-0.12617456408315908,0.21937428164665973,0.03788145978614499,0.518758706122153,0.0002303481431510608,0.0004393089686430468,0.00021987035416529528,0.5411792772365109,15.80723802127223,0.005172841716382163,-0.08583959120984219,0.00038378082213430157,0.854330664904116,19.71151652798055,-0.16197393308442587,1.1874753353320349,32.279568372126434,-0.2739846259248689,-0.08150742045079463,-0.022976878089006187,
2011-02-04,0.01198166077404661,-0.01214551152251564,0.010245567112176484,-0.13144360260865462,0.18382673961513252,0.005977411149744372,0.5557361588861927,0.00021715557000991055,0.0004371765005775328,0.00021775632033960057,0.537230467816211,15.679447732817806,-0.08509955783603691,-0.11383497026075994,0.0003872300536417614,0.8645669651198628,19.695463057234438,-0.23001267765278732,1.0746586945136565,37.76339311820835,-0.30612292461512264,-0.06962287023825814,-0.011275536773733401,
2011-02-07,-0.015483075645489008,-0.03222961882649289,0.01064894940388569,-0.13830232755676253,0.17129580294323743,0.03296213992332797,0.5689238075930882,0.00022091232091249474,0.00044100560724639413,0.00021414696270953703,0.5228674852986677,15.678961033216154,1.0316984333816719,-0.0798404525682464,0.00038946829614861514,0.8511808093983211,19.717871758674924,-0.1718450788410859,1.0340710902800072,37.70221575209419,-0.33724611599075677,-0.08317859759735312,-0.026519528736201625,
2011-02-08,-0.030064375533616294,-0.05298803781822847,0.015114487894835276,-0.1349008816323094,0.16359766957134947,0.03994279441291515,0.530635635884025,0.00021133833607158664,0.00042771795691349965,0.00021368706532968852,0.5173553603772889,15.79156047777553,1.2011050381403974,-0.07845032844114343,0.00038856334350848725,0.8255905898975625,19.692710111980137,-0.18677887858872644,1.151124213079338,24.902839322349877,-0.3745255861995653,-0.10976827657129297,-0.05561182897238269,
2011-02-09,0.007152850832689239,-0.03708228301286132,0.017153213646153725,-0.11260529649355977,0.10861971089213784,0.013598821763355584,0.5680174053104214,0.0002130438318748147,0.00040124041582882366,0.00021645653348938514,0.5083786582902645,15.862323788777362,0.031092976477921544,-0.0669233252297139,0.0003688631910413504,0.8314959162359717,19.71081538832716,-0.19366204510496576,1.2220435111681842,17.80244387368512,-0.4114507376204616,-0.10221652627085655,-0.04863775383834545,
2011-02-10,-0.016413846412746902,-0.04270336583805323,0.01761322948884956,-0.10485481924320339,0.08802911188308338,-0.019692031466607807,0.593365036249069,0.00020001073236520166,0.0003981394426102887,0.00021734674521939803,0.5011602337532423,15.943295140059089,0.8113460835930723,-0.03210673150879124,0.00033664119901292836,0.8178478699740482,19.732093495515233,-0.1014668600594486,1.2759202267030378,17.17343116174939,-0.44843740645492824,-0.11562429977310458,-0.06394096298945173,
2011-02-11,-0.00288835715028557,-0.056769844175222794,0.014201481503004518,-0.10370674666180546,0.12039683403431622,0.009678783229964294,0.5404864993816154,0.0002002161059907504,0.0004459102026892373,0.00021635713258382418,0.4998883261465518,16.066451874106335,1.1648391526401203,1.997933151232458e-06,0.00033356555451666514,0.8154856332309629,19.765314935908812,-0.10444295829583028,1.3919566537232135,16.978135373425516,-0.4834687828615996,-0.11654386873722263,-0.06637671799546178,
2011-02-14,0.0014482534295898741,-0.04054854846486433,0.015020981681067387,-0.10279689463834862,0.11350084491862966,0.014999158569166449,0.5107719826934292,0.0002008275612133736,0.00042646914355020635,0.0002158320969522289,0.4972296283988835,15.924943817872743,-0.7677281586189381,-0.020432769014390693,0.00033622613467422643,0.8166666630960708,19.745891613563046,-0.1232851911846018,1.2337679905865422,13.900632657873288,-0.515210764084121,-0.11253908768035528,-0.0646168361303719,
