Date,Ret_D1,Ret_W1,STD_W1,ST_Rev,r12_2,r12_7,r36_13,Variance,HighLowVol,Resid_Var,Beta,Vol,SUV,LTurnover,Amihud,Rel2High,MktCap_Proxy,PriceMom_Acc,VolMom,RSI14,MACD_Sig,DistMA50,DistMA200,RFR
2011-02-01,0.01911579886350845,0.003363631403666023,0.026554283354703445,-0.11799068397454682,0.028092975924927543,-0.1292237477917606,0.45595302823383754,0.0002596362469281385,0.00039736589249936624,0.00022074429351625602,0.6719425970605895,14.681238255062201,1.5187209118156284,-0.39393048427892857,0.00030420012703662316,0.790441640153536,19.78413607392244,-0.06735031953982151,1.351050187323908,33.66095269480553,-0.3909937541555334,-0.08423551780730694,-0.07463405464245096,0.08154
2011-02-02,-0.00834117677041979,-0.038762264478828024,0.018452244529630374,-0.12605532504582606,0.024307798007557446,-0.13277822400272843,0.4665163866930171,0.0002575415522653718,0.0004140416477337743,0.00022232971890610203,0.67026103951787,14.700440645253519,-0.34147523595005985,-0.3690770560532819,0.0003130826657198247,0.7838484267063148,19.799566719767615,-0.008977177061419095,1.3448436915808493,33.23039291556276,-0.3947991319965912,-0.08970494057097597,-0.08200203519142482,0.0815
2011-02-03,-0.020403842998858668,-0.055195392130466536,0.01900767030438966,-0.14655870281237982,0.045224862236521224,-0.11644997275992819,0.47658397330152225,0.0002617865315521895,0.0004216876907254267,0.00022218963751682557,0.6678190237918328,14.78325647112159,0.1381669571465933,-0.34890630465038264,0.00032932793068720956,0.7678549064728968,19.79807024756476,-0.032648974777977235,1.4332938870541565,29.984084839961184,-0.40056592568520305,-0.1056060921348073,-0.10022158769248433,0.08162000000000001
2011-02-04,0.0009448117958650304,-0.04056069308147714,0.0195872854122861,-0.14736676320302933,0.03052422317039416,-0.11000157448498882,0.5046567201928547,0.0002609484219323897,0.00040820328462564184,0.00022394800237950324,0.6654727129027166,14.844651289165006,-0.22470054059121636,-0.37151274036260207,0.0003291827512638309,0.7685803848460453,19.77474588273318,-0.06562870523537989,1.5614872954830554,30.557165082489007,-0.406332755878228,-0.10181320875133855,-0.09885679800357203,0.08195999999999999
2011-02-07,-0.028936259247986706,-0.037743711042113826,0.018751284197922078,-0.1624836776952716,0.01128258429470419,-0.10529969649449111,0.5169456825500274,0.0002825364360602322,0.0004443016203673383,0.00022407687461911875,0.6551486499892215,14.731218720177672,-0.4440562212695903,-0.3647994259034656,0.0003558751541308401,0.7463405435772227,19.749919229782495,-0.02957941137452913,1.387730497504332,31.908198001159576,-0.4158145060503482,-0.12479500890630331,-0.12437598344144925,0.08207
2011-02-08,0.005748633549188753,-0.05036508233631609,0.0144670898835909,-0.1340342596898192,-0.008726735236246674,-0.09331073100426357,0.5259447660424028,0.000271679740789431,0.0004192549504546092,0.00022425034698624952,0.6738387081110333,14.283952343166336,-1.5402643339532978,-0.38906134728376596,0.00034240632767719675,0.7506309818651504,19.72910028671428,-0.040218843542690896,0.9111519657936037,33.800005025981534,-0.4256661494080783,-0.11727749416680994,-0.11889388147338094,0.08179
2011-02-09,-0.010884624758998873,-0.05280074565583359,0.014430166304447564,-0.12215123933614058,-0.021753687338846306,-0.09896856554104239,0.5936940628053233,0.0002566861793925836,0.00041774285986672104,0.00022435910516165457,0.6761931266128393,14.207928250867536,-1.0145936380063099,-0.42575061372563494,0.0003458696206036789,0.7424606452950694,19.679495372142885,0.014475368785435427,0.8777363133166227,29.95233929429746,-0.4357208784708749,-0.1244144023001275,-0.12816053813576495,0.08166000000000001
2011-02-10,-0.01937483283291863,-0.05180576659744818,0.014263660621515633,-0.12971341475122866,-0.020636483164355512,-0.10168185206248803,0.5684624095791484,0.00026422663265726214,0.00043240454562617315,0.00022357335164326986,0.6896218186570608,14.008753096489588,-1.2941833791295598,-0.43358486581841066,0.0003790033912977139,0.7280755944074565,19.64919631509867,0.010869062579847433,0.7269844875247454,27.961415119651477,-0.4474316154246315,-0.13814616617279088,-0.144703049188996,0.08131000000000001
2011-02-11,0.005199458885132957,-0.04777534275423079,0.0152125015278475,-0.12017894323032696,-0.007399210790937305,-0.08089045574589127,0.5897549032130993,0.0002707205241755441,0.0004354616760507276,0.00022401163352990235,0.6952046777189049,13.934285989921403,-0.6431809716396047,-0.4499862849916366,0.0003820894818971676,0.7318611935258468,19.636263481155925,0.001261650331436881,0.6871529179172068,31.04838391775442,-0.45804876043326026,-0.13026131913384556,-0.1398633120975802,0.08127000000000001
2011-02-14,0.018405036810785536,-0.001352489628004272,0.014937548808461756,-0.10344177476776917,-0.025384168011869823,-0.07903575236080107,0.5845472005873094,0.0002980893060849992,0.0004460055077568467,0.0002239193077628459,0.6956998447340782,13.931417167567249,-0.43118227552959854,-0.4505294095646157,0.00040863463902636937,0.7453311257330755,19.652972647033366,0.012598669676070262,0.6862325615098873,37.65590416336816,-0.46333970126922214,-0.11115148470109024,-0.12373298386351418,0.0809
